Store Name,Banana Price (lb),Banana link,Strawberry Price (oz),Strawberry link,Apple Price (oz),Apple link,Potato Price (lb),Potato link,Onion Price (lb),Onion link,Tomato Price (lb),Tomato link
Ralphs,0.69,https://www.ralphs.com/p/fresh-banana-each/0000000004011?searchType=default_search,0.25,https://www.ralphs.com/p/fresh-strawberries/0003338320027?searchType=default_search,0.13,https://www.ralphs.com/p/large-fuji-apple-each/0000000004131?searchType=default_search,0.99,https://www.ralphs.com/p/russet-potato/0000000004072?searchType=default_search,1.49,https://www.ralphs.com/p/medium-yellow-onions/0000000004093?searchType=default_search,0.99,https://www.ralphs.com/p/roma-tomato/0000000004087?searchType=default_search
Sam's Market,0.75,,0.23,,0.09,,0.84,,0.99,,0.92,
Seafood City Supermarket,0.83,,0.17,,0.12,,0.69,,1.26,,1.42,
Seafood Ranch Market,0.72,,0.26,,0.10,,0.72,,1.47,,0.87,
Smart & Final,0.69,https://www.smartandfinal.com/sm/planning/rsid/369/product/bananas-id-00000000004011,0.21,https://www.smartandfinal.com/sm/planning/rsid/369/product/first-street-strawberries-whole-id-00041512081798,0.07,https://www.smartandfinal.com/sm/planning/rsid/369/product/first-street-apples-fuji-id-00041512171536,0.99,https://www.smartandfinal.com/sm/planning/rsid/369/product/russet-potatoes-id-00000000004072,1.49,https://www.smartandfinal.com/sm/planning/rsid/369/product/yellow-onions-id-00000000004093,0.99,https://www.smartandfinal.com/sm/planning/rsid/369/product/roma-tomatoes-id-00000000004087
Smart & Final Extra!,0.69,https://www.smartandfinal.com/sm/planning/rsid/369/product/bananas-id-00000000004011,0.21,https://www.smartandfinal.com/sm/planning/rsid/369/product/first-street-strawberries-whole-id-00041512081798,0.07,https://www.smartandfinal.com/sm/planning/rsid/369/product/first-street-apples-gala-id-00041512171550,0.99,https://www.smartandfinal.com/sm/planning/rsid/369/product/russet-potatoes-id-00000000004072,1.49,https://www.smartandfinal.com/sm/planning/rsid/369/product/yellow-onions-id-00000000004093,0.99,https://www.smartandfinal.com/sm/planning/rsid/369/product/roma-tomatoes-id-00000000004087
Sprout Farmers Market,0.59,https://shop.sprouts.com/search?search_term=banana,0.27,https://shop.sprouts.com/search?search_term=strawberry&search_is_autocomplete=false,0.09,https://shop.sprouts.com/search?search_term=apple&search_is_autocomplete=false,1.29,https://shop.sprouts.com/search?search_term=potato&search_is_autocomplete=false,1.49,https://shop.sprouts.com/search?search_term=onion&search_is_autocomplete=false,1.49,https://shop.sprouts.com/search?search_term=tomato&search_is_autocomplete=false
Superior Grocieries,0.80,,0.23,,0.07,,1.05,,1.57,,1.37,
Tambuli Market,0.63,,0.24,,0.10,,0.70,,0.98,,2.14,
Target,1.00,https://www.target.com/p/organic-bananas-2lb-good-38-gather-8482/-/A-85759852#lnk=sametab,0.17,https://www.target.com/p/strawberries-1lb/-/A-13208903#lnk=sametab,0.10,https://www.target.com/p/honeycrisp-apples-3lb-bag-good-gather-8482/-/A-54579324#lnk=sametab,1.20,https://www.target.com/p/russet-potatoes-5lb-brand-may-vary/-/A-77775602#lnk=sametab,1.20,https://www.target.com/p/yellow-onions-3lb-bag-good-38-gather-8482/-/A-77788700#lnk=sametab,1.19,https://www.target.com/p/roma-tomatoes-16oz-good-38-gather-8482-packaging-may-vary/-/A-82667380#lnk=sametab
Tokyo Central,0.74,,0.24,,0.07,,0.88,,0.99,,1.76,
Tokyo Central & Main,0.57,,0.15,,0.12,,0.63,,1.00,,1.43,
Trader Joe's,0.69,https://www.traderjoes.com/home/products/pdp/bananas-048053,0.19,https://www.traderjoes.com/home/products/pdp/strawberries-1-lb-035878,0.08,https://www.traderjoes.com/home/products/pdp/honeycrisp-apples-093872,0.05,https://www.traderjoes.com/home/products/pdp/russet-potatoes-099095,0.06,https://www.traderjoes.com/home/products/pdp/jumbo-yellow-onions-095520,0.22,https://www.traderjoes.com/home/products/pdp/campari-tomatoes-095554
Uni-mart Seafood Market,0.58,,0.17,,0.09,,0.93,,1.47,,0.36,
Vallarta Supermarkets,0.73,,0.20,,0.09,,0.88,,1.09,,1.32,
Vons,0.75,https://www.vons.com/shop/product-details.184060007.html,0.25,https://www.vons.com/shop/product-details.184070124.html,0.13,https://www.vons.com/shop/product-details.184020020.html,0.06,https://www.vons.com/shop/product-details.184500022.html,0.09,https://www.vons.com/shop/product-details.184450054.html,0.11,https://www.vons.com/shop/product-details.184570068.html
Walmart,0.50,https://www.walmart.com/ip/Fresh-Banana-Fruit-Each/44390948?athbdg=L1200&from=/search,0.11,https://www.walmart.com/ip/Fresh-Strawberries-1-lb-Container/44391605?athbdg=L1200&from=/search,0.08,https://www.walmart.com/ip/Fresh-Gala-Apples-3-lb-Bag/44390958?athbdg=L1200,0.69,https://www.walmart.com/ip/Fresh-Whole-Russet-Potatoes-5lb-bag/10447837?athbdg=L1200&from=/search,1.14,https://www.walmart.com/ip/Fresh-Whole-Yellow-Onion-Each/51259212?athbdg=L1200&from=/search,1.28,https://www.walmart.com/ip/Fresh-Roma-Tomato-Each/44390944?athbdg=L1200&from=/search
Western Super Market,0.82,,0.24,,0.10,,0.95,,1.17,,0.69,
Whole Foods Market,0.89,https://www.wholefoodsmarket.com/product/produce-organic-banana-b0014gpskq,0.28,https://www.wholefoodsmarket.com/product/good-farms-organic-strawberries-b07pqnbkck,0.13,https://www.wholefoodsmarket.com/product/produce-gala-apple-b001w3jflo,1.59,https://www.wholefoodsmarket.com/product/produce-organic-russet-potato-b000p6l454,1.49,https://www.wholefoodsmarket.com/product/produce-yellow-onion-b001w3t2sk,1.99,https://www.wholefoodsmarket.com/product/produce-roma-tomato-b07fyybg8j
Williams Market,0.78,,0.23,,0.10,,0.53,,1.41,,0.41,
Y & K Market,0.65,,0.30,,0.12,,0.38,,0.96,,1.86,
Yas' Market,0.73,,0.28,,0.07,,0.81,,1.41,,2.13,
Young's Market & Restaurant,0.73,,0.29,,0.11,,0.63,,1.30,,0.50,
